1996,Actor in a Supporting Role,1,"Cuba Gooding, Jr.",Jerry Maguire
1981,Actor in a Supporting Role,0,"Howard E. Rollins, Jr.",Ragtime
1982,Actor in a Supporting Role,1,"Louis Gossett, Jr.",An Officer and a Gentleman
2006,Actress in a Supporting Role,0,Abigail Breslin,Little Miss Sunshine
1984,Actor in a Supporting Role,0,Adolph Caesar,A Soldier's Story
1931,Actor in a Leading Role,0,Adolphe Menjou,The Front Page
2006,Actress in a Supporting Role,0,Adriana Barraza,Babel
2002,Actor in a Leading Role,1,Adrien Brody,The Pianist
1942,Actress in a Supporting Role,0,Agnes Moorehead,The Magnificent Ambersons
1944,Actress in a Supporting Role,0,Agnes Moorehead,Mrs. Parkington
1948,Actress in a Supporting Role,0,Agnes Moorehead,Johnny Belinda
1964,Actress in a Supporting Role,0,Agnes Moorehead,"Hush...Hush, Sweet Charlotte"
1936,Actor in a Supporting Role,0,Akim Tamiroff,The General Died at Dawn
1943,Actor in a Supporting Role,0,Akim Tamiroff,For Whom the Bell Tolls
1972,Actor in a Supporting Role,0,Al Pacino,The Godfather
1973,Actor in a Leading Role,0,Al Pacino,Serpico
1974,Actor in a Leading Role,0,Al Pacino,The Godfather Part II
1975,Actor in a Leading Role,0,Al Pacino,Dog Day Afternoon
1979,Actor in a Leading Role,0,Al Pacino,...And Justice for All
1990,Actor in a Supporting Role,0,Al Pacino,Dick Tracy
1992,Actor in a Leading Role,1,Al Pacino,Scent of a Woman
1992,Actor in a Supporting Role,0,Al Pacino,Glengarry Glen Ross
2004,Actor in a Supporting Role,0,Alan Alda,The Aviator
1966,Actor in a Leading Role,0,Alan Arkin,The Russians Are Coming The Russians Are Coming
1968,Actor in a Leading Role,0,Alan Arkin,The Heart Is a Lonely Hunter
2006,Actor in a Supporting Role,1,Alan Arkin,Little Miss Sunshine
2012,Actor in a Supporting Role,0,Alan Arkin,Argo
1968,Actor in a Leading Role,0,Alan Bates,The Fixer
1940,Actor in a Supporting Role,0,Albert Basserman,Foreign Correspondent
1987,Actor in a Supporting Role,0,Albert Brooks,Broadcast News
1963,Actor in a Leading Role,0,Albert Finney,Tom Jones
